population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,seir_susceptible,seir_exposed,seir_infected,seir_recovered,infant_mortality,tick,government_capital,private_capital,dependency_ratio,total_wealth_inherited,total_wealth_escheated
152,33.67609167423537,71.23698104873223,4.432852594682232,6956.553206300666,174.7419157708153,0.5920153700900816,0.0,0.4921417368803172,0.0,2,35.93153834903642,148,0,0,4,26.0,42,25674.053438130253,659308.3547794326,0.6344086021505376,3276.366166816633,0.0
152,33.75942500756871,71.23363000817162,4.4080820068775575,7019.255342784617,171.84456675234517,0.5873178060859334,0.0,0.49753647372242243,0.0,2,35.93153834903642,148,0,0,4,26.0,43,23151.917982612187,663100.7028257884,0.6170212765957447,3276.366166816633,0.0
152,33.842758340902044,71.37607309032597,4.383832430542424,7082.195860126096,168.9941925288959,0.5827051734351223,0.0,0.5029312105645277,0.0,2,35.93153834903642,148,0,0,4,26.0,44,20687.128467522663,667151.2625997283,0.6170212765957447,3276.366166816633,0.0
153,33.70435251296586,71.36160933107395,4.424020233594999,7098.592278416057,165.02361613522797,0.578181161488724,0.0,0.5050035555935177,0.0,2,35.93153834903642,149,0,0,4,26.0,45,18202.704625753573,671187.3213532716,0.6170212765957447,3276.366166816633,0.0
153,33.7876858462992,71.08786452184115,4.38422286516711,7161.646397755158,162.36702738989254,0.5737338746795337,0.0,0.5103630327177008,0.0,2,35.93153834903642,149,0,0,4,26.0,46,16179.146577854684,674850.5310397976,0.6276595744680851,3276.366166816633,0.0
152,33.597936699386445,71.60642587485215,4.375212651304183,7265.917810062473,161.03236299944965,0.5666272359600577,0.0,0.5145064064225707,0.0,3,49.08087762503673,148,0,0,4,26.0,47,14366.405921680112,679452.1005971129,0.6276595744680851,3276.366166816633,1037.1459125989745
153,33.461131012898086,71.32165220130496,4.407446212925386,7282.230052587025,157.56190312532732,0.5622705015766623,0.0,0.5165030965766715,0.0,3,49.08087762503673,149,0,0,4,26.0,48,12484.194553571026,683654.0141698736,0.6170212765957447,3276.366166816633,1037.1459125989745
153,33.544464346231415,71.31832306297022,4.088220272351102,7345.565607901538,155.11284883266205,0.5579697343329406,0.0,0.5218625737008545,0.0,3,49.08087762503673,149,0,0,4,26.0,49,10044.16191039475,688376.6466306333,0.6276595744680851,3276.366166816633,1037.1459125989745
153,33.62779767956475,71.46016194197325,4.32292533694971,7409.1316115123545,152.84125913990334,0.5537581078694538,0.0,0.5273527697792858,0.0,3,49.08087762503673,149,0,0,4,26.0,50,7498.250414780673,692885.2139024431,0.6451612903225806,3276.366166816633,1037.1459125989745
153,33.711131012898086,71.4568328036385,4.289217956990834,7473.337115236485,151.02011811704907,0.5496265629022012,0.0,0.5287906782760179,0.0,3,49.08087762503673,149,0,0,4,26.0,51,5054.893933169498,697634.6056192265,0.6451612903225806,3276.366166816633,1037.1459125989745
153,33.794464346231415,71.18243439963449,4.260219434010876,7537.705040317851,149.17535077582238,0.5455750314903818,0.0,0.5302285867727499,0.0,3,49.08087762503673,149,0,0,4,26.0,52,3089.609056775966,701911.743400314,0.6451612903225806,3276.366166816633,1037.1459125989745
153,33.87779767956475,71.5956148754615,4.235013897115944,7603.219900642065,147.3067295180259,0.5449549807787482,0.0,0.531666495269482,0.0,3,49.08087762503673,149,0,0,4,26.0,53,153.512498268284,706560.5161772834,0.6451612903225806,3276.366166816633,1037.1459125989745
153,33.961131012898086,71.32099860653372,4.212858480132843,7669.042314411404,145.51514432108854,0.5409072248365809,0.0,0.5331044037662139,0.0,3,49.08087762503673,149,0,0,4,26.0,54,-1772.4922754767344,710857.5528864963,0.6276595744680851,3276.366166816633,1037.1459125989745
153,34.044464346231415,71.31766946819899,4.193198213964094,7735.201244169073,143.87182856681966,0.5369358721838347,0.0,0.5345423122629459,0.0,3,49.08087762503673,149,0,0,4,26.0,55,-4190.0165021641615,715711.1448434627,0.6276595744680851,3276.366166816633,1037.1459125989745
153,34.12779767956475,71.45983514458763,4.17565309736053,7801.845768245305,142.5263842254738,0.5330342993164021,0.0,0.5357187828511811,0.0,3,49.08087762503673,149,0,0,4,26.0,56,-6477.421056905623,721083.9141560325,0.6276595744680851,3276.366166816633,1037.1459125989745
154,33.98898081151563,71.49386645541732,4.223912238879641,7817.691031451657,140.3742398990318,0.5292027121275413,0.0,0.5334089206248749,0.0,3,49.08087762503673,150,0,0,4,26.0,57,-8893.627276904945,726058.0959580328,0.6276595744680851,3276.366166816633,1037.1459125989745
154,34.07231414484897,71.22060050858215,4.191836173995265,7884.327667706684,139.13044166001012,0.5254444438933374,0.0,0.5347076219235761,0.0,3,49.08087762503673,150,0,0,4,26.0,58,-10768.005254582857,731032.1596409024,0.6382978723404256,3276.366166816633,1037.1459125989745
154,34.155647478182296,71.6320720202804,4.164729856790149,7951.131940397942,137.86932521734764,0.5217513491351162,0.0,0.5358764530924073,0.0,3,49.08087762503673,150,0,0,4,26.0,59,-13586.111196335001,736613.0787261251,0.6382978723404256,3276.366166816633,1037.1459125989745
155,34.01808416111876,71.37056575580458,4.20521294905454,7967.395605492541,135.75836066039307,0.5224983782833539,0.0,0.5335804759756821,0.0,3,49.08087762503673,151,0,0,4,26.0,60,-15356.797249615413,741630.9454633463,0.6382978723404256,3276.366166816633,1037.1459125989745
155,34.10141749445209,71.36727957409352,3.627989190958412,8033.630915314294,134.4480308080575,0.5188663564865301,0.0,0.5347417662982628,0.0,3,49.08087762503673,151,0,0,4,26.0,61,-17683.462907590158,747418.9472685442,0.631578947368421,3276.366166816633,1037.1459125989745
155,34.18475082778542,71.50793343530296,4.136472492469111,8100.060911692096,133.42915886625516,0.5153231758325447,0.0,0.5359030566208434,0.0,3,49.08087762503673,151,0,0,4,26.0,62,-20013.74999131686,753096.5213209947,0.6666666666666666,3276.366166816633,1037.1459125989745
155,34.26808416111876,71.5046472535919,3.8396500127484194,8165.909806456488,132.3958726822521,0.5119343551857245,0.0,0.537064346943424,0.0,3,49.08087762503673,151,0,0,4,26.0,63,-22232.412998296004,759282.1421826971,0.6666666666666666,3276.366166816633,1037.1459125989745
