population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,tick,government_capital,private_capital
123,34.24823751133592,56.95692031463448,46.72374572880756,757.0917536907846,276.6784153062059,0.7853937350046825,0.6265060240963856,0.30464716410725495,0.0,27,32.399529953059314,65,25275.034126440918,6556.527488509342
123,34.25097723736332,55.86781302473924,47.8078432566501,769.648266082615,285.99346594001565,0.7856334012129176,0.6385542168674698,0.30464716410725495,0.0,27,32.399529953059314,66,25689.159750547893,6400.496473766746
121,34.29300624997706,56.75751557096015,46.98896522023888,792.4995521919737,300.310569229518,0.7838556677431534,0.6341463414634146,0.30561969140267803,0.0,29,32.36347375801504,67,26124.671496141764,6602.856798566471
120,34.26759929133879,56.02640523117699,47.676162712604565,809.5236885685681,309.57940871137805,0.7840522455271479,0.6296296296296297,0.30458404263399863,0.0,30,32.540469570610696,68,26535.030751073846,6390.976364022531
120,34.27033901736618,55.98360794470793,47.74725393259035,821.3479407332372,319.576319880275,0.7854517062161499,0.6419753086419753,0.30458404263399863,0.0,30,32.540469570610696,69,26955.152764410315,6377.366315818489
120,34.27307874339359,55.32215971035608,48.59422464597028,831.0805974167276,327.4406489847943,0.7880548915440444,0.6296296296296297,0.30458404263399863,0.0,30,32.540469570610696,70,27372.061260310733,6420.720324234586
119,34.36932938969582,56.81322283827239,47.771222056557164,850.0238624004274,343.13585535173996,0.7865763042770049,0.6419753086419753,0.30464519313095345,0.0,31,32.2374872927431,71,27825.677590518706,6690.075855863664
119,34.37206911572322,56.73879370607635,47.78109843896584,860.6424250787395,352.64546845621146,0.7879380771041662,0.6172839506172839,0.30464519313095345,0.0,31,32.2374872927431,72,28281.130971603478,6760.844097217875
118,34.50468729778339,57.483253001776035,47.31919154774698,879.0537377064547,364.8322895873655,0.7872895846713313,0.6296296296296297,0.30648255045385836,0.0,32,31.82535178452874,73,28732.23769847737,6761.009669942962
118,34.50742702381079,56.72559448409832,47.60143194019949,889.388968643661,372.51700321724326,0.7889804085248064,0.6172839506172839,0.30648255045385836,0.0,32,31.82535178452874,74,29171.032436561465,6712.9342888682695
